Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Pocahontas,tt0114148,I) (1995,"Animation, Adventure, Drama","Directors:, Mike Gabriel, , Eric Goldberg, | ,     Stars:, Mel Gibson, , Linda Hunt, , Christian Bale, , Joe Baker",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,6.7,81 min,G,194428,"141,600,000"
The Prince of Egypt,tt0120794,1998,"Animation, Adventure, Drama","Directors:, Brenda Chapman, , Steve Hickner, , Simon Wells, | ,     Stars:, Val Kilmer, , Ralph Fiennes, , Michelle Pfeiffer, , Sandra Bullock",Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,7.2,99 min,PG,138648,"101,217,900"
Annie,tt0083564,1982,"Comedy, Drama, Family","Director:, John Huston, | ,     Stars:, Aileen Quinn, , Albert Finney, , Carol Burnett, , Ann Reinking","A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.",6.6,127 min,PG,47430,"57,059,003"
Burlesque,tt1126591,I) (2010,"Drama, Music, Musical","Director:, Steve Antin, | ,     Stars:, Cher, , Christina Aguilera, , Alan Cumming, , Eric Dane",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,6.4,119 min,PG-13,89550,"39,440,655"
The Hunchback of Notre Dame,tt0116583,1996,"Animation, Drama, Family","Directors:, Gary Trousdale, , Kirk Wise, | ,     Stars:, Demi Moore, , Jason Alexander, , Mary Kay Bergman, , Corey Burton","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",7.0,91 min,G,164109,"100,138,851"
Hairspray,tt0427327,2007,"Comedy, Drama, Musical","Director:, Adam Shankman, | ,     Stars:, John Travolta, , Queen Latifah, , Nikki Blonsky, , Michelle Pfeiffer",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,6.7,117 min,PG,134502,"118,871,849"
In the Heights,tt1321510,2021,"Drama, Musical, Romance","Director:, Jon M. Chu, | ,     Stars:, Anthony Ramos, , Corey Hawkins, , Leslie Grace, , Melissa Barrera","A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life.",7.3,143 min,PG-13,49519,
She Done Him Wrong,tt0024548,1933,"Comedy, Drama, History","Director:, Lowell Sherman, | ,     Stars:, Mae West, , Cary Grant, , Owen Moore, , Gilbert Roland","In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.",6.3,66 min,Passed,6662,"4,796,000"
The Little Mermaid: Ariel's Beginning,tt0969647,2008 Video,"Animation, Adventure, Comedy","Director:, Peggy Holmes, | ,     Stars:, Jodi Benson, , Samuel E. Wright, , Jim Cummings, , Sally Field","In the kingdom of Atlantica where music is forbidden, the youngest daughter of King Triton, named Ariel, discovers her love of an underground music club and sets off to a daring adventure to bring restoration of music back to Atlantica.",6.1,77 min,G,10656,
Crazy Ex-Girlfriend,tt4094300,2015–2019,"Comedy, Musical","Stars:, Rachel Bloom, , Donna Lynne Champlin, , Vincent Rodriguez III, , Pete Gardner","A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.",7.8,42 min,TV-14,21591,
