Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
This Is Us,tt5555260,2016–2022,"Comedy, Drama, Romance","Stars:, Milo Ventimiglia, , Mandy Moore, , Sterling K. Brown, , Chrissy Metz","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",8.7,45 min,TV-14,149868,
Casablanca,tt0034583,1942,"Drama, Romance, War","Director:, Michael Curtiz, | ,     Stars:, Humphrey Bogart, , Ingrid Bergman, , Paul Henreid, , Claude Rains",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,8.5,102 min,PG,583959,"1,024,560"
The French Dispatch,tt8847712,2021,"Comedy, Drama, Romance","Director:, Wes Anderson, | ,     Stars:, Benicio Del Toro, , Adrien Brody, , Tilda Swinton, , Léa Seydoux","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",7.1,107 min,R,134392,
The Blue Lagoon,tt0080453,1980,"Adventure, Drama, Romance","Director:, Randal Kleiser, | ,     Stars:, Brooke Shields, , Christopher Atkins, , Leo McKern, , William Daniels","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",5.8,104 min,R,73717,"58,853,106"
Baywatch,tt0096542,1989–2001,"Action, Adventure, Crime","Stars:, David Hasselhoff, , Pamela Anderson, , Yasmine Bleeth, , Jeremy Jackson","At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis.",5.4,60 min,TV-PG,28969,
The Princess Bride,tt0093779,1987,"Adventure, Comedy, Family","Director:, Rob Reiner, | ,     Stars:, Cary Elwes, , Mandy Patinkin, , Robin Wright, , Chris Sarandon","A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",8.0,98 min,PG,436313,"30,857,814"
Hotel Desire,tt2080323,2011,"Short, Drama, Romance","Director:, Sergej Moya, | ,     Stars:, Saralisa Volm, , Clemens Schick, , Jan-Gregor Kremp, , Herbert Knaup","A young single mother drops her son of at the bus stop to visit his dad in Paris. After being late for work, she almost gets fired. At the end of her duties she gets into a tricky situation which she handles, with the advice her colleague gave her.",5.7,38 min,TV-MA,3928,
The Love Club,tt19896920,2023,"Comedy, Romance","Stars:, Brittany Bristow, , Lily Gao, , Camille Stopps, , Chantel Riley","Four women, each dealing with their dating failures, make a promise to call each other if they ever run into romantic trouble again. 10 years later they revive their ""Love Club"" to help them to find true love.",5.1,84 min,,335,
Just Go with It,tt1564367,2011,"Comedy, Romance","Director:, Dennis Dugan, | ,     Stars:, Adam Sandler, , Jennifer Aniston, , Brooklyn Decker, , Nicole Kidman","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",6.4,117 min,PG-13,253508,"103,028,109"
10 Things I Hate About You,tt0147800,1999,"Comedy, Drama, Romance","Director:, Gil Junger, | ,     Stars:, Heath Ledger, , Julia Stiles, , Joseph Gordon-Levitt, , Larisa Oleynik","A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.",7.3,97 min,PG-13,358472,"38,176,108"
365 Days,tt10886166,2020,"Drama, Romance","Directors:, Barbara Bialowas, , Tomasz Mandes, | ,     Stars:, Anna-Maria Sieklucka, , Michele Morrone, , Bronislaw Wroclawski, , Otar Saralidze","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",3.3,114 min,TV-MA,93452,
iCarly,tt13657062,2021– ,"Comedy, Drama, Romance","Stars:, Miranda Cosgrove, , Jerry Trainor, , Nathan Kress, , Laci Mosley",A group of best friends creating a webcast while grappling with everyday problems and adventures.,6.7,26 min,TV-PG,5262,
Call Me by Your Name,tt5726616,2017,"Drama, Romance","Director:, Luca Guadagnino, | ,     Stars:, Timothée Chalamet, , Armie Hammer, , Michael Stuhlbarg, , Amira Casar","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",7.8,132 min,R,288955,"18,095,701"
Little Women,tt3281548,2019,"Drama, Romance","Director:, Greta Gerwig, | ,     Stars:, Saoirse Ronan, , Emma Watson, , Florence Pugh, , Eliza Scanlen","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",7.8,135 min,PG,219599,"108,101,214"
Ticket to Paradise,tt14109724,2022,"Comedy, Romance","Director:, Ol Parker, | ,     Stars:, George Clooney, , Sean Lynch, , Julia Roberts, , Arielle Carver-O'Neill",A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,6.1,104 min,PG-13,52902,"68,275,985"
Pretty Little Liars,tt1578873,2010–2017,"Drama, Mystery, Romance","Stars:, Troian Bellisario, , Ashley Benson, , Lucy Hale, , Shay Mitchell","Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",7.4,44 min,TV-14,172185,
Schmigadoon!,tt11808942,2021– ,"Comedy, Fantasy, Musical","Stars:, Keegan-Michael Key, , Cecily Strong, , Dove Cameron, , Kristin Chenoweth",A couple on a backpacking trip discovers a magical town in which everyone acts like they're in a classic musical.,7.4,30 min,TV-14,12820,
