Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Wrath of Becky,tt20916568,2023,"Action, Horror, Thriller","Directors:, Matt Angel, , Suzanne Coote, | ,     Stars:, Lulu Wilson, , Seann William Scott, , Denise Burse, , Jill Larson","Two years after escaping a violent attack, a teenage girl must defend herself against a terrorist cell.",6.5,84 min,R,273,
A Serbian Film,tt1273235,2010,"Horror, Mystery, Thriller","Director:, Srdjan Spasojevic, | ,     Stars:, Srdjan 'Zika' Todorovic, , Sergej Trifunovic, , Jelena Gavrilovic, , Slobodan Bestic","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film.",5.0,104 min,NC-17,67544,
Soft & Quiet,tt14557188,2022,"Drama, Horror, Mystery","Director:, Beth de Araújo, | ,     Stars:, Stefanie Estes, , Olivia Luccardi, , Dana Millican, , Melissa Paulo","Playing out in real time, an elementary school teacher organizes a mixer of like-minded women, when she encounters a woman from her past, leading to a volatile chain of events.",6.2,91 min,R,6755,
Bones and All,tt10168670,2022,"Drama, Horror, Romance","Director:, Luca Guadagnino, | ,     Stars:, Timothée Chalamet, , Taylor Russell, , Mark Rylance, , Kendle Coffey",A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.,6.8,131 min,R,42215,
The Watcher,tt14852808,2022– ,"Drama, Horror, Mystery","Stars:, Naomi Watts, , Bobby Cannavale, , Mia Farrow, , Terry Kinney","A married couple moving into their dream home are threatened by terrifying letters from a stalker, signed - ""The Watcher.""",6.5,332 min,TV-MA,70884,
The Black Phone,tt7144666,2021,"Horror, Thriller","Director:, Scott Derrickson, | ,     Stars:, Mason Thames, , Madeleine McGraw, , Ethan Hawke, , Jeremy Davies","After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",6.9,103 min,R,167658,"90,123,230"
Bodies Bodies Bodies,tt8110652,2022,"Comedy, Horror, Thriller","Director:, Halina Reijn, | ,     Stars:, Amandla Stenberg, , Maria Bakalova, , Myha'la Herrold, , Rachel Sennott","When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",6.2,94 min,R,51007,
The Evil Dead,tt0083907,1981,Horror,"Director:, Sam Raimi, | ,     Stars:, Bruce Campbell, , Ellen Sandweiss, , Richard DeManincor, , Betsy Baker","Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",7.4,85 min,NC-17,221773,"2,400,000"
Dead Ringers,tt12923632,2023,"Drama, Horror, Thriller","Stars:, Rachel Weisz, , Britne Oldford, , Poppy Liu, , Michael Chernus","The Mantle twins, identical from head to toe, are on a mission to change the way women give birth.",6.5,,TV-MA,5367,
The Price We Pay,tt15441472,2022,"Action, Horror, Thriller","Director:, Ryûhei Kitamura, | ,     Stars:, Emile Hirsch, , Stephen Dorff, , Gigi Zumbado, , Vernon Wells","After a pawn shop robbery goes askew, two criminals take refuge at a remote farmhouse to try to let the heat die down, but find something much more menacing.",4.8,86 min,R,2123,
Split,tt4972582,IX) (2016,"Horror, Thriller","Director:, M. Night Shyamalan, | ,     Stars:, James McAvoy, , Anya Taylor-Joy, , Haley Lu Richardson, , Jessica Sula",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,7.3,117 min,PG-13,518453,"138,291,365"
Get Out,tt5052448,I) (2017,"Horror, Mystery, Thriller","Director:, Jordan Peele, | ,     Stars:, Daniel Kaluuya, , Allison Williams, , Bradley Whitford, , Catherine Keener","A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",7.8,104 min,R,641506,"176,040,665"
A Quiet Place,tt6644200,2018,"Drama, Horror, Sci-Fi","Director:, John Krasinski, | ,     Stars:, Emily Blunt, , John Krasinski, , Millicent Simmonds, , Noah Jupe",A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,7.5,90 min,PG-13,550302,"188,024,361"
