Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Fast and the Furious,tt0232500,2001,"Action, Crime, Thriller","Director:, Rob Cohen, | ,     Stars:, Vin Diesel, , Paul Walker, , Michelle Rodriguez, , Jordana Brewster",Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,6.8,106 min,PG-13,400754,"144,533,925"
Vinland Saga,tt10233448,2019– ,"Animation, Action, Adventure","Stars:, Yûto Uemura, , Mike Haimoto, , Alejandro Saab, , Aleks Le",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,8.8,24 min,TV-MA,50941,
Heat,tt0113277,1995,"Action, Crime, Drama","Director:, Michael Mann, | ,     Stars:, Al Pacino, , Robert De Niro, , Val Kilmer, , Jon Voight",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,8.3,170 min,R,677319,"67,436,818"
Dune,tt1160419,2021,"Action, Adventure, Drama","Director:, Denis Villeneuve, | ,     Stars:, Timothée Chalamet, , Rebecca Ferguson, , Zendaya, , Oscar Isaac",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,8.0,155 min,PG-13,680235,"108,327,830"
Rabbit Hole,tt5822112,2023– ,"Action, Drama, Thriller","Stars:, Kiefer Sutherland, , Meta Golding, , Enid Graham, , Rob Yang","John Weir, a private espionage operative, battles over the preservation of democracy in a world constantly at odds.",7.5,88 min,TV-MA,12930,
Chicago Fire,tt2261391,2012– ,"Action, Drama","Stars:, Taylor Kinney, , Christian Stolte, , Eamonn Walker, , Joe Minoso","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",8.0,43 min,TV-14,60270,
Spider-Man: No Way Home,tt10872600,2021,"Action, Adventure, Fantasy","Director:, Jon Watts, | ,     Stars:, Tom Holland, , Zendaya, , Benedict Cumberbatch, , Jacob Batalon","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",8.2,148 min,PG-13,799290,"804,747,988"
Shazam!,tt0448115,2019,"Action, Adventure, Comedy","Director:, David F. Sandberg, | ,     Stars:, Zachary Levi, , Mark Strong, , Asher Angel, , Jack Dylan Grazer",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7.0,132 min,PG-13,364214,"140,371,656"
Star Trek: The Next Generation,tt0092455,1987–1994,"Action, Adventure, Sci-Fi","Stars:, Patrick Stewart, , Brent Spiner, , Jonathan Frakes, , LeVar Burton","Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",8.7,44 min,TV-PG,127774,
Operation Fortune: Ruse de Guerre,tt7985704,2023,"Action, Comedy, Thriller","Director:, Guy Ritchie, | ,     Stars:, Jason Statham, , Aubrey Plaza, , Cary Elwes, , Hugh Grant",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,6.3,114 min,R,57075,
