Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Warrior,tt1291584,2011,"Action, Drama, Sport","Director:, Gavin O'Connor, | ,     Stars:, Tom Hardy, , Nick Nolte, , Joel Edgerton, , Jennifer Morrison","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",8.2,140 min,PG-13,482086,"13,657,115"
"I, Tonya",tt5580036,2017,"Biography, Comedy, Drama","Director:, Craig Gillespie, | ,     Stars:, Margot Robbie, , Sebastian Stan, , Allison Janney, , Julianne Nicholson","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",7.5,119 min,R,227467,"30,014,539"
LazyTown,tt0396991,2002–2014,"Adventure, Comedy, Family","Stars:, Lorraine Parsloe, , Magnús Scheving, , Stefán Karl Stefánsson, , Julianna Rose Mauriello","In this Nick Jr. television show, a pink-haired girl named Stephanie moves to LazyTown with her uncle (the mayor of LazyTown), where she tries to teach its extremely lazy residents that physical activity is beneficial.",5.9,30 min,TV-Y,7824,
The Grand Tour,tt5712554,2016– ,"Comedy, Sport, Talk-Show","Stars:, Jeremy Clarkson, , James May, , Richard Hammond, , Abbie Eaton","Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",8.7,60 min,TV-14,78533,
Caddyshack,tt0080487,1980,"Comedy, Sport","Director:, Harold Ramis, | ,     Stars:, Chevy Chase, , Rodney Dangerfield, , Bill Murray, , Ted Knight",An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,7.2,98 min,13+,122372,"39,846,344"
The Benchwarmers,tt0437863,2006,"Comedy, Sport","Director:, Dennis Dugan, | ,     Stars:, David Spade, , Jon Heder, , Rob Schneider, , Jon Lovitz",A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children's Little League squads.,5.5,85 min,PG-13,53181,"59,843,754"
Varsity Blues,tt0139699,1999,"Comedy, Drama, Romance","Director:, Brian Robbins, | ,     Stars:, James Van Der Beek, , Jon Voight, , Paul Walker, , Ron Lester",A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,6.5,106 min,R,47514,"52,885,587"
McGregor Forever,tt27599123,2023,"Documentary, Sport","Star:, Conor McGregor",Conor McGregor's brutal strikes and trash-talking swagger made him the UFC's biggest draw. This rousing docuseries follows his dynamic career.,7.1,200 min,TV-MA,2323,
Raging Bull,tt0081398,1980,"Biography, Drama, Sport","Director:, Martin Scorsese, | ,     Stars:, Robert De Niro, , Cathy Moriarty, , Joe Pesci, , Frank Vincent","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",8.1,129 min,R,363455,"23,383,987"
The Ultimate Fighter,tt0445912,2005– ,"Action, Reality-TV, Sport","Stars:, Dana White, , Mike Rowe, , Herb Dean, , Forrest Griffin",Sixteen top mixed martial arts fighters compete for a UFC contract.,7.9,60 min,TV-14,3124,
The Karate Kid,tt1155076,2010,"Action, Drama, Family","Director:, Harald Zwart, | ,     Stars:, Jackie Chan, , Jaden Smith, , Taraji P. Henson, , Wenwen Han","Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",6.2,140 min,PG,193612,"176,591,618"
Million Dollar Baby,tt0405159,2004,"Drama, Sport","Director:, Clint Eastwood, | ,     Stars:, Hilary Swank, , Clint Eastwood, , Morgan Freeman, , Jay Baruchel","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",8.1,132 min,PG-13,700378,"100,492,203"
Blue Mountain State,tt1344204,2010–2011,"Comedy, Sport","Stars:, Darin Brooks, , Alan Ritchson, , Chris Romano, , Ed Marinaro","Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.",8.3,22 min,TV-MA,55576,
Bloodsport,tt0092675,1988,"Action, Biography, Drama","Director:, Newt Arnold, | ,     Stars:, Jean-Claude Van Damme, , Donald Gibb, , Leah Ayres, , Norman Burton","""Bloodsport"" follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",6.8,92 min,R,89110,"11,806,119"
Perfect Addiction,tt12965390,2023,"Action, Drama, Romance","Director:, Castille Landon, | ,     Stars:, Manu Bennett, , Ryan Bown, , Ross Butler, , Alex Czerwinski","A successful boxing trainer discovers that her boyfriend, a reigning champion, has been cheating on her with her own sister. She sets out to get revenge by training the one man capable of dethroning him: his arch-nemesis Kayden.",5.5,107 min,R,1637,
