Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Riders of the Pony Express,tt0232534,1949,Western,"Director:, Michael Salle, | ,     Stars:, Ken Curtis, , Shug Fisher, , Cathy Douglas, , William 'Billy' Benedict",In a rigged gunfight Tom Blake is forced to shoot a man in self defense and is then hunted for murder. After a long trip fleeing the posse he uses a false name and joins the Pony Express ...                See full summary »,5.2,60 min,Approved,17,
The Far Out West,tt0126296,1967,"Comedy, Western","Director:, Joe Connelly, | ,     Stars:, Ann Sheridan, , Ruth McDevitt, , Douglas Fowley, , Gary Vinson",Compilation of several episodes of the TV series Pistols 'n' Petticoats (1966),8.3,100 min,,51,
The Adventures of Don Coyote,tt0039134,1947,"Action, Adventure, Drama","Director:, Reginald Le Borg, | ,     Stars:, Frances Rafferty, , Richard Martin, , Val Carlo, , Benny Bartlett","Near Border Flats, Don Coyote and his friend Sancho are interrupted on their way to the fiesta by a fight. A quick intervention on their part prompts ranch owner Maggie Riley to hire them. ...                See full summary »",6.4,65 min,Passed,29,
The Sunset Legion,tt0019436,1928,"Action, Adventure, Comedy","Directors:, Lloyd Ingraham, , Alfred L. Werker, | ,     Stars:, Fred Thomson, , Silver King the Horse, , Edna Murphy, , William Courtright","The citizens and near-by ranchers of a western town are being besieged by a gang of rustlers and robbers, and a plea is made to the governor to send a troop of rangers. Shortly, thereafter ...                See full summary »",6.0,70 min,Passed,20,
The Gay Caballero,tt0032514,1940,Western,"Director:, Otto Brower, | ,     Stars:, Cesar Romero, , Sheila Ryan, , Robert Sterling, , Chris-Pin Martin","The Cisco Kid and his buddy Gordito arrive in town and learn that Cisco is supposedly dead. Not only that: Before his death, he is believed to have attempted to steal Susan Wetherby's land.",6.0,58 min,Approved,69,
Ay Chabela...!,tt0276791,1961,"Comedy, Romance, Western","Director:, Juan José Ortega, | ,     Stars:, Joaquín Cordero, , Lorena Velázquez, , Rosa de Castilla, , Paco Michel",Add a Plot,8.2,80 min,,9,
Zorro the Invincible,tt0065248,1971,Western,"Director:, José Luis Merino, | ,     Stars:, Carlos Quiney, , Léa Nanni, , Mariano Vidal Molina, , Pasquale Basile",Add a Plot,5.8,89 min,,24,
Charrito,tt0243820,1984,"Comedy, Western","Director:, Roberto Gómez Bolaños, | ,     Stars:, Roberto Gómez Bolaños, , Florinda Meza, , María Antonieta de las Nieves, , Rubén Aguirre","While filming his new motion picture, a filmmaker struggles with the man who plays the villain in his new movie, the extremely clumsy 'Charrito'.",5.8,90 min,TV-PG,111,
Death Valley Gunfighter,tt0041287,1949,"Drama, Western","Director:, R.G. Springsteen, | ,     Stars:, Allan Lane, , Black Jack, , Eddy Waller, , James Nolan",Rocky Lane (Allan Lane) hits the trail when he gets word that one of two brothers in a partner-ship mining project has been killed by outlaws trying to gain possession of the mine. The ...                See full summary »,6.6,60 min,Passed,89,
Midnight Shanghai,tt5707230,2016– ,"Action, Western","Stars:, David Hight, , Christian Middleton, , Samuel Austin Lee, , Clebert Garcia",WOO CHEN IS ON THE RUN FROM A RAIL ROAD WORK CAMP. ELA IS HIRED BY CHEN'S BROTHER TO FIND HER AND GET TO SAFETY. RAIL ROAD HENCHMEN ON THE HURT FOR HER TOO. ELA IS GUIDED BY GOPAN ON HER ...                See full summary »,7.5,,TV-MA,13,
Sunset on the Desert,tt0035397,1942,"Drama, Musical, Western","Director:, Joseph Kane, | ,     Stars:, Roy Rogers, , George 'Gabby' Hayes, , Lynne Carver, , Frank M. Thomas","Roy is mistaken for a bad guy expected by the local outlaw gang. He goes undercover to pin the goods on the bad guys. Just as he is about to do so, the real bad guy shows up.",6.2,63 min,Passed,112,
Deep in the Heart of Texas,tt0034640,I) (1942,"Drama, Music, Western","Director:, Elmer Clifton, | ,     Stars:, Johnny Mack Brown, , Tex Ritter, , Fuzzy Knight, , Jennifer Holt","Jim Malloy (Johnny Mack Brown) returns from the Civil War to Texas to find his father, Colonel Malloy (William Franum), leading a band of land grabbers and carpet-baggers during the Reconstruction Era.",6.0,62 min,Approved,84,
O Astrapogiannos,tt0200448,1970,"Adventure, Drama, Western","Director:, Nikos Tzimas, | ,     Stars:, Nikos Kourkoulos, , Niki Triantafillidi, , Giannis Argyris, , Spyros Kalogirou","The battle-scarred hero of the Greek Revolution, Giannos ""Astrapogiannos"", returns home after the end of the blood-soaked War of Independence, only to find himself in a new conflict, as he locks horns with a ruthless local Kodjabashis.",6.9,116 min,,296,
Pistoleros de la muerte,tt0258029,1975,"Action, Adventure, Drama","Director:, Juan Manuel Herrera, | ,     Stars:, Luis Chiape, , Rogelio Guerra, , Franky Linero, , Sasha Montenegro",Add a Plot,4.4,86 min,,14,
The Black Whip,tt0319772,1958,"Action, Adventure, Drama","Director:, Vicente Oroná, | ,     Stars:, Luis Aguilar, , Rosita Arenas, , Rosa Elena Durgel, , Federico Curiel","This film is the first of three parts. A double crime has been committed. In the ""Hacienda Rosales"", two men are killed by gunmen in the service of a powerful and anonymous landowner (a ...                See full summary »",6.4,85 min,,15,
